Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,2021,32,23.1,35.0,66.0,248.0,1.7,4.9,0.7,2.1,7.5,7.5,11.4,248.0,95.8,2.2,15.6,6.67,6.7,6.0
2,2020,32,23.0,35.2,65.2,240.2,1.7,4.8,0.8,2.2,7.2,7.2,11.1,240.2,93.6,2.2,14.7,6.42,6.4,5.9
3,2019,32,22.1,34.9,63.5,235.0,1.6,4.5,0.8,2.3,7.2,7.1,11.4,235.0,90.4,2.5,16.8,6.29,6.2,6.7
4,2018,32,22.4,34.5,64.9,237.8,1.7,4.8,0.8,2.4,7.4,7.3,11.4,237.8,92.9,2.5,16.7,6.42,6.3,6.8
5,2017,32,21.2,34.2,62.1,224.4,1.4,4.2,0.8,2.5,7.0,6.8,11.3,224.4,86.9,2.3,15.3,6.15,5.9,6.4
6,2016,32,22.5,35.7,63.0,241.5,1.5,4.3,0.8,2.3,7.2,7.0,11.4,241.5,89.3,2.2,14.1,6.37,6.2,5.8
7,2015,32,22.5,35.7,63.0,243.8,1.6,4.6,0.9,2.4,7.3,7.1,11.5,243.8,90.2,2.3,15.3,6.41,6.3,6.1
8,2014,32,21.9,34.9,62.6,236.8,1.6,4.5,0.9,2.5,7.2,7.0,11.5,236.8,88.9,2.4,14.9,6.35,6.1,6.3
9,2013,32,21.7,35.4,61.2,235.6,1.6,4.4,1.0,2.8,7.1,6.8,11.6,235.6,86.0,2.5,16.7,6.21,5.9,6.7
10,2012,32,21.2,34.7,60.9,231.3,1.5,4.3,0.9,2.6,7.1,6.7,11.6,231.3,85.6,2.3,14.7,6.25,5.9,6.2
11,2011,32,20.4,34.0,60.1,229.7,1.5,4.3,1.0,2.9,7.2,6.7,12.0,229.7,84.3,2.3,15.1,6.32,5.9,6.4
12,2010,32,20.5,33.7,60.8,221.6,1.5,4.3,1.0,3.0,7.0,6.5,11.5,221.6,84.1,2.2,14.7,6.17,5.7,6.1
13,2009,32,20.3,33.3,60.9,218.5,1.4,4.2,1.0,3.1,7.0,6.4,11.5,218.5,83.0,2.2,13.8,6.17,5.6,6.1
14,2008,32,19.7,32.3,61.0,211.3,1.3,3.9,0.9,2.8,6.9,6.5,11.4,211.3,83.2,2.0,12.9,6.16,5.7,5.9
15,2007,32,20.4,33.3,61.2,214.3,1.4,4.2,1.0,3.1,6.9,6.3,11.2,214.3,82.6,2.2,14.0,6.05,5.5,6.1
16,2006,32,19.1,32.0,59.8,204.8,1.3,4.0,1.0,3.2,6.9,6.2,11.5,204.8,80.4,2.3,14.5,5.97,5.4,6.6
17,2005,32,19.1,32.2,59.5,203.5,1.3,3.9,1.0,3.1,6.8,6.2,11.4,203.5,80.1,2.3,14.8,5.90,5.3,6.7
18,2004,32,19.1,31.9,59.8,210.5,1.4,4.5,1.0,3.2,7.1,6.5,11.8,210.5,82.8,2.3,14.7,6.14,5.6,6.8
19,2003,32,18.9,32.2,58.8,200.4,1.3,4.0,1.1,3.3,6.6,6.0,11.3,200.4,78.3,2.1,13.4,5.84,5.2,6.2
20,2002,32,20.1,33.8,59.6,212.2,1.4,4.0,1.0,3.1,6.7,6.1,11.3,212.2,80.4,2.3,14.7,5.88,5.3,6.4
21,2001,31,19.2,32.6,59.0,205.8,1.3,3.9,1.1,3.4,6.8,6.0,11.5,205.8,78.5,2.4,15.2,5.87,5.2,6.9
22,2000,31,19.1,32.9,58.2,206.9,1.3,3.9,1.1,3.3,6.7,6.1,11.6,206.9,78.1,2.5,15.2,5.85,5.2,7.0
23,1999,31,19.3,33.8,57.1,212.3,1.3,4.0,1.1,3.4,6.8,6.0,11.8,212.3,77.1,2.5,16.1,5.85,5.2,6.9
24,1998,30,18.3,32.3,56.6,205.0,1.4,4.2,1.1,3.3,6.8,6.2,12.1,205.0,78.3,2.5,16.0,5.89,5.3,7.2
25,1997,30,18.4,32.8,56.2,201.8,1.3,3.9,1.0,3.0,6.7,6.1,11.9,201.8,77.2,2.6,17.5,5.70,5.2,7.4
26,1996,30,19.2,33.3,57.6,207.4,1.3,3.9,1.1,3.4,6.7,5.9,11.6,207.4,76.9,2.3,14.8,5.83,5.1,6.5
27,1995,30,20.2,34.8,58.2,220.8,1.4,4.0,1.1,3.1,6.8,6.2,11.6,220.8,79.2,2.2,14.8,5.96,5.4,6.1
28,1994,28,19.5,33.6,58.0,213.6,1.3,3.9,1.1,3.1,6.8,6.1,11.7,213.6,78.4,2.1,13.8,5.98,5.4,5.9
29,1993,28,18.6,32.2,57.9,200.6,1.2,3.6,1.0,3.3,6.7,5.9,11.6,200.6,76.7,2.4,14.8,5.81,5.1,6.8
30,1992,28,17.2,29.9,57.5,187.6,1.2,3.8,1.2,3.9,6.9,5.9,11.9,187.6,75.3,2.5,17.7,5.78,4.9,7.8
31,1991,28,17.9,31.1,57.4,199.1,1.1,3.7,1.1,3.5,6.9,6.0,12.0,199.1,76.2,2.2,15.4,5.97,5.2,6.6
32,1990,28,16.9,30.2,56.0,194.8,1.3,4.3,1.1,3.6,7.0,6.3,12.5,194.8,77.3,2.4,16.6,5.98,5.3,7.3
33,1989,28,17.9,32.0,55.8,210.9,1.3,4.1,1.2,3.9,7.1,6.2,12.8,210.9,75.6,2.5,17.8,6.12,5.2,7.2
34,1988,28,17.1,31.5,54.3,200.7,1.2,3.9,1.2,3.9,6.9,5.9,12.7,200.7,72.9,2.3,17.3,5.93,5.0,6.8
35,1987,28,17.6,32.1,54.8,203.9,1.5,4.5,1.3,4.0,7.0,6.1,12.7,203.9,75.2,2.6,19.6,5.87,5.0,7.6
36,1986,28,17.9,32.3,55.4,205.5,1.3,4.1,1.3,4.0,7.0,6.0,12.6,205.5,74.1,2.7,20.2,5.88,5.0,7.6
37,1985,28,17.7,32.2,54.8,204.5,1.3,4.1,1.3,4.2,7.0,6.0,12.8,204.5,73.5,2.9,22.1,5.83,4.9,8.3
38,1984,28,18.0,32.0,56.4,205.9,1.4,4.3,1.3,4.1,7.1,6.2,12.7,205.9,76.1,2.9,22.3,5.90,5.0,8.4
